,timestamp,tag,type,description,test
0,2024-05-01 01:32:20.000000000,AIR003_3,H,PURGE C CONC HIGH ALM,1
1,2024-05-01 01:36:10.000000000,AIR001_3,H,REACT FEED C CONC HIGH ALM,1
2,2024-05-01 02:04:10.000000000,AIR001_1,L,REACT FEED A CONC LOW ALM,1
3,2024-05-01 02:14:20.000000000,AIR003_1,L,PURGE A CONC LOW ALM,1
4,2024-05-01 02:49:10.000000000,AIR002_2,H,SEP UFLW E CONC HIGH ALM,1
5,2024-05-01 03:13:40.000000000,AIR001_6,L,REACT FEED F CONC LOW ALM,1
6,2024-05-01 03:16:50.000000000,AIR001_2,L,REACT FEED B CONC LOW ALM,1
7,2024-05-01 03:34:50.000000000,FIR123,H,FLW COND CW HIGH ALM,1
8,2024-05-01 03:52:50.000000000,AIR001_5,H,REACT FEED E CONC HIGH ALM,1
9,2024-05-01 03:57:50.000000000,AIR003_5,H,PURGE E CONC HIGH ALM,1
10,2024-05-01 04:20:30.000000000,FIR100,H,FLW FEED A HIGH ALM,1
11,2024-05-01 04:29:10.000000000,FIR115,L,FLW PURGE LOW ALM,1
12,2024-05-01 04:39:50.000000000,V160,H,VLV POS FEED A HIGH ALM,1
13,2024-05-01 04:44:30.000000000,AIR003_8,L,PURGE H CONC LOW ALM,1
14,2024-05-01 04:58:10.000000000,V167,L,VLV POS PURGE LOW ALM,1
15,2024-05-01 05:26:10.000000000,AIR003_5,H NR,PURGE E CONC HIGH ALM RECOVERED,1
16,2024-05-01 05:36:10.000000000,AIR003_1,L NR,PURGE A CONC LOW ALM RECOVERED,1
17,2024-05-01 05:56:30.000000000,AIR003_8,L NR,PURGE H CONC LOW ALM RECOVERED,1
18,2024-05-01 05:56:40.000000000,AIR001_1,L NR,REACT FEED A CONC LOW ALM RECOVERED,1
19,2024-05-01 05:59:50.000000000,AIR001_2,L NR,REACT FEED B CONC LOW ALM RECOVERED,1
20,2024-05-01 06:13:20.000000000,AIR003_3,H NR,PURGE C CONC HIGH ALM RECOVERED,1
21,2024-05-01 06:16:40.000000000,AIR001_3,H NR,REACT FEED C CONC HIGH ALM RECOVERED,1
22,2024-05-01 06:43:40.000000000,AIR001_6,L NR,REACT FEED F CONC LOW ALM RECOVERED,1
23,2024-05-01 06:51:10.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED,1
24,2024-05-01 07:01:50.000000000,AIR003_3,L,PURGE C CONC LOW ALM,1
25,2024-05-01 07:12:40.000000000,V160,H NR,VLV POS FEED A HIGH ALM RECOVERED,1
26,2024-05-01 07:19:20.000000000,AIR001_3,L,REACT FEED C CONC LOW ALM,1
27,2024-05-01 07:36:20.000000000,FIR100,H NR,FLW FEED A HIGH ALM RECOVERED,1
28,2024-05-01 07:38:30.000000000,V167,L NR,VLV POS PURGE LOW ALM RECOVERED,1
29,2024-05-01 07:46:40.000000000,AIR001_5,H NR,REACT FEED E CONC HIGH ALM RECOVERED,1
30,2024-05-01 07:50:10.000000000,FIR115,L NR,FLW PURGE LOW ALM RECOVERED,1
31,2024-05-01 10:01:10.000000000,AIR002_2,H NR,SEP UFLW E CONC HIGH ALM RECOVERED,1
32,2024-05-01 10:54:50.000000000,AIR001_3,L NR,REACT FEED C CONC LOW ALM RECOVERED,1
33,2024-05-01 11:09:00.000000000,AIR003_3,L NR,PURGE C CONC LOW ALM RECOVERED,1
34,2024-05-01 11:27:40.000000000,AIR003_3,L,PURGE C CONC LOW ALM,1
35,2024-05-01 11:32:50.000000000,AIR001_3,L,REACT FEED C CONC LOW ALM,1
36,2024-05-01 12:15:30.000000000,AIR001_1,H,REACT FEED A CONC HIGH ALM,1
37,2024-05-01 12:38:30.000000000,FIR123,L,FLW COND CW LOW ALM,1
38,2024-05-01 12:39:50.000000000,AIR003_1,H,PURGE A CONC HIGH ALM,1
39,2024-05-01 13:13:00.000000000,AIR003_8,H,PURGE H CONC HIGH ALM,1
40,2024-05-01 13:32:50.000000000,AIR002_2,L,SEP UFLW E CONC LOW ALM,1
