,timestamp,tag,type,description
0,2024-05-01 01:34:00.000000000,AIR003_3,H,PURGE C CONC HIGH ALM
1,2024-05-01 01:37:40.000000000,AIR001_3,H,REACT FEED C CONC HIGH ALM
2,2024-05-01 02:02:30.000000000,AIR001_1,L,REACT FEED A CONC LOW ALM
3,2024-05-01 02:13:30.000000000,AIR003_1,L,PURGE A CONC LOW ALM
4,2024-05-01 03:02:10.000000000,AIR002_2,H,SEP UFLW E CONC HIGH ALM
5,2024-05-01 03:07:50.000000000,AIR001_6,L,REACT FEED F CONC LOW ALM
6,2024-05-01 03:18:40.000000000,AIR001_2,L,REACT FEED B CONC LOW ALM
7,2024-05-01 03:25:50.000000000,AIR001_5,H,REACT FEED E CONC HIGH ALM
8,2024-05-01 03:40:30.000000000,FIR123,H,FLW COND CW HIGH ALM
9,2024-05-01 04:10:00.000000000,AIR003_8,L,PURGE H CONC LOW ALM
10,2024-05-01 04:20:30.000000000,FIR100,H,FLW FEED A HIGH ALM
11,2024-05-01 04:32:30.000000000,FIR115,L,FLW PURGE LOW ALM
12,2024-05-01 04:38:30.000000000,V160,H,VLV POS FEED A HIGH ALM
13,2024-05-01 05:02:00.000000000,V167,L,VLV POS PURGE LOW ALM
14,2024-05-01 05:37:10.000000000,AIR003_1,L NR,PURGE A CONC LOW ALM RECOVERED
15,2024-05-01 05:40:30.000000000,AIR001_1,L NR,REACT FEED A CONC LOW ALM RECOVERED
16,2024-05-01 05:50:40.000000000,AIR003_8,L NR,PURGE H CONC LOW ALM RECOVERED
17,2024-05-01 05:58:20.000000000,AIR001_2,L NR,REACT FEED B CONC LOW ALM RECOVERED
18,2024-05-01 06:13:00.000000000,AIR001_3,H NR,REACT FEED C CONC HIGH ALM RECOVERED
19,2024-05-01 06:18:10.000000000,AIR003_3,H NR,PURGE C CONC HIGH ALM RECOVERED
20,2024-05-01 06:45:30.000000000,AIR001_6,L NR,REACT FEED F CONC LOW ALM RECOVERED
21,2024-05-01 06:48:50.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
22,2024-05-01 07:06:20.000000000,AIR003_3,L,PURGE C CONC LOW ALM
23,2024-05-01 07:14:00.000000000,V160,H NR,VLV POS FEED A HIGH ALM RECOVERED
24,2024-05-01 07:37:20.000000000,AIR001_3,L,REACT FEED C CONC LOW ALM
