,timestamp,tag,type,description
0,2024-05-01 00:32:40,TIR123,H,TEMP COND CWS HIGH ALM
1,2024-05-01 00:41:20,FIR123,H,FLW COND CW HIGH ALM
2,2024-05-01 00:55:20,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
3,2024-05-01 00:55:30,FIR123,H,FLW COND CW HIGH ALM
4,2024-05-01 01:06:10,AIR003_3,H,PURGE C CONC HIGH ALM
5,2024-05-01 01:06:20,AIR001_3,H,REACT FEED C CONC HIGH ALM
6,2024-05-01 01:36:50,AIR001_1,L,REACT FEED A CONC LOW ALM
7,2024-05-01 01:48:10,AIR003_1,L,PURGE A CONC LOW ALM
8,2024-05-01 02:17:40,AIR002_2,H,SEP UFLW E CONC HIGH ALM
9,2024-05-01 02:38:50,AIR001_6,L,REACT FEED F CONC LOW ALM
10,2024-05-01 02:51:50,AIR001_2,L,REACT FEED B CONC LOW ALM
11,2024-05-01 03:17:20,AIR001_5,H,REACT FEED E CONC HIGH ALM
12,2024-05-01 03:18:20,AIR001_5,H NR,REACT FEED E CONC HIGH ALM RECOVERED
13,2024-05-01 03:29:10,AIR003_5,H,PURGE E CONC HIGH ALM
14,2024-05-01 03:31:10,AIR003_5,H NR,PURGE E CONC HIGH ALM RECOVERED
15,2024-05-01 03:33:50,AIR001_5,H,REACT FEED E CONC HIGH ALM
16,2024-05-01 03:46:30,AIR003_5,H,PURGE E CONC HIGH ALM
17,2024-05-01 03:48:30,AIR003_5,H NR,PURGE E CONC HIGH ALM RECOVERED
18,2024-05-01 03:49:40,FIR100,H,FLW FEED A HIGH ALM
19,2024-05-01 03:53:30,FIR115,L,FLW PURGE LOW ALM
20,2024-05-01 03:55:20,AIR003_5,H,PURGE E CONC HIGH ALM
21,2024-05-01 03:56:20,AIR001_5,H NR,REACT FEED E CONC HIGH ALM RECOVERED
22,2024-05-01 04:01:00,AIR003_8,L,PURGE H CONC LOW ALM
23,2024-05-01 04:02:00,AIR001_5,H,REACT FEED E CONC HIGH ALM
24,2024-05-01 04:05:00,AIR003_5,H NR,PURGE E CONC HIGH ALM RECOVERED
25,2024-05-01 04:08:10,V160,H,VLV POS FEED A HIGH ALM
26,2024-05-01 04:13:20,AIR003_8,L NR,PURGE H CONC LOW ALM RECOVERED
27,2024-05-01 04:21:30,AIR001_2,L NR,REACT FEED B CONC LOW ALM RECOVERED
28,2024-05-01 04:22:50,V167,L,VLV POS PURGE LOW ALM
29,2024-05-01 04:25:50,AIR001_2,L,REACT FEED B CONC LOW ALM
30,2024-05-01 04:29:30,AIR001_5,H NR,REACT FEED E CONC HIGH ALM RECOVERED
31,2024-05-01 04:30:40,AIR001_2,L NR,REACT FEED B CONC LOW ALM RECOVERED
32,2024-05-01 04:32:10,AIR001_1,L NR,REACT FEED A CONC LOW ALM RECOVERED
33,2024-05-01 04:36:10,AIR003_1,L NR,PURGE A CONC LOW ALM RECOVERED
34,2024-05-01 05:18:50,AIR001_3,H NR,REACT FEED C CONC HIGH ALM RECOVERED
35,2024-05-01 05:20:50,AIR001_6,L NR,REACT FEED F CONC LOW ALM RECOVERED
36,2024-05-01 05:31:20,AIR003_3,H NR,PURGE C CONC HIGH ALM RECOVERED
37,2024-05-01 06:23:00,V160,H NR,VLV POS FEED A HIGH ALM RECOVERED
38,2024-05-01 06:34:50,AIR003_3,L,PURGE C CONC LOW ALM
39,2024-05-01 06:54:40,AIR001_3,L,REACT FEED C CONC LOW ALM
40,2024-05-01 06:55:10,FIR100,H NR,FLW FEED A HIGH ALM RECOVERED
41,2024-05-01 07:00:40,V167,L NR,VLV POS PURGE LOW ALM RECOVERED
42,2024-05-01 07:19:00,FIR115,L NR,FLW PURGE LOW ALM RECOVERED
43,2024-05-01 07:28:20,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
44,2024-05-01 07:28:30,FIR123,H,FLW COND CW HIGH ALM
45,2024-05-01 07:33:40,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
46,2024-05-01 07:33:50,FIR123,H,FLW COND CW HIGH ALM
