,timestamp,tag,type,description
0,2024-05-01 00:37:50.000000000,AIR103_2,H,C FEED B CONC HIGH ALM
1,2024-05-01 02:27:20.000000000,AIR103_2,H NR,C FEED B CONC HIGH ALM RECOVERED
2,2024-05-01 02:30:30.000000000,AIR103_2,H,C FEED B CONC HIGH ALM
3,2024-05-01 04:41:10.000000000,AIR001_6,L,REACT FEED F CONC LOW ALM
4,2024-05-01 05:03:00.000000000,AIR001_6,L NR,REACT FEED F CONC LOW ALM RECOVERED
5,2024-05-01 05:07:20.000000000,AIR001_6,L,REACT FEED F CONC LOW ALM
6,2024-05-01 05:51:40.000000000,AIR002_3,L,SEP UFLW F CONC LOW ALM
7,2024-05-01 06:15:30.000000000,AIR002_3,L NR,SEP UFLW F CONC LOW ALM RECOVERED
8,2024-05-01 07:17:20.000000000,AIR002_3,L,SEP UFLW F CONC LOW ALM
9,2024-05-01 07:19:00.000000000,AIR003_6,L,PURGE F CONC LOW ALM
10,2024-05-01 07:28:20.000000000,AIR003_6,L NR,PURGE F CONC LOW ALM RECOVERED
11,2024-05-01 07:30:10.000000000,AIR003_6,L,PURGE F CONC LOW ALM
12,2024-05-01 07:31:00.000000000,AIR002_3,L NR,SEP UFLW F CONC LOW ALM RECOVERED
13,2024-05-01 08:16:40.000000000,AIR002_3,L,SEP UFLW F CONC LOW ALM
14,2024-05-01 09:40:00.000000000,AIR103_2,H NR,C FEED B CONC HIGH ALM RECOVERED
15,2024-05-01 09:46:50.000000000,AIR103_2,H,C FEED B CONC HIGH ALM
16,2024-05-01 10:02:10.000000000,AIR002_3,L NR,SEP UFLW F CONC LOW ALM RECOVERED
17,2024-05-01 10:31:20.000000000,AIR002_3,L,SEP UFLW F CONC LOW ALM
18,2024-05-01 15:32:10.000000000,AIR002_3,L NR,SEP UFLW F CONC LOW ALM RECOVERED
19,2024-05-01 15:45:30.000000000,AIR002_3,L,SEP UFLW F CONC LOW ALM
20,2024-05-01 16:21:10.000000000,AIR103_2,H NR,C FEED B CONC HIGH ALM RECOVERED
21,2024-05-01 16:24:10.000000000,AIR103_2,H,C FEED B CONC HIGH ALM
22,2024-05-01 17:53:00.000000000,AIR002_3,L NR,SEP UFLW F CONC LOW ALM RECOVERED
23,2024-05-01 18:00:20.000000000,AIR002_3,L,SEP UFLW F CONC LOW ALM
24,2024-05-01 19:12:30.000000000,AIR002_3,L NR,SEP UFLW F CONC LOW ALM RECOVERED
25,2024-05-01 19:15:00.000000000,AIR002_3,L,SEP UFLW F CONC LOW ALM
26,2024-05-01 21:12:40.000000000,AIR002_3,L NR,SEP UFLW F CONC LOW ALM RECOVERED
27,2024-05-01 21:15:00.000000000,AIR002_3,L,SEP UFLW F CONC LOW ALM
28,2024-05-02 00:10:40.000000000,AIR103_2,H NR,C FEED B CONC HIGH ALM RECOVERED
29,2024-05-02 00:12:20.000000000,AIR103_2,H,C FEED B CONC HIGH ALM
30,2024-05-02 06:45:00.000000000,AIR103_2,H NR,C FEED B CONC HIGH ALM RECOVERED
31,2024-05-02 06:48:50.000000000,AIR103_2,H,C FEED B CONC HIGH ALM
32,2024-05-02 09:52:40.000000000,AIR002_3,L NR,SEP UFLW F CONC LOW ALM RECOVERED
33,2024-05-02 10:00:10.000000000,AIR002_3,L,SEP UFLW F CONC LOW ALM
34,2024-05-02 19:16:40.000000000,AIR103_2,H NR,C FEED B CONC HIGH ALM RECOVERED
35,2024-05-02 19:18:20.000000000,AIR103_2,H,C FEED B CONC HIGH ALM
36,2024-05-03 00:38:00.000000000,AIR103_2,H NR,C FEED B CONC HIGH ALM RECOVERED
37,2024-05-03 06:15:40.000000000,AIR002_2,L,SEP UFLW E CONC LOW ALM
38,2024-05-03 06:30:10.000000000,AIR002_2,L NR,SEP UFLW E CONC LOW ALM RECOVERED
39,2024-05-03 07:02:40.000000000,AIR002_3,L NR,SEP UFLW F CONC LOW ALM RECOVERED
40,2024-05-03 07:32:30.000000000,AIR002_3,L,SEP UFLW F CONC LOW ALM
41,2024-05-03 08:26:40.000000000,AIR002_3,L NR,SEP UFLW F CONC LOW ALM RECOVERED
42,2024-05-03 08:48:00.000000000,AIR002_3,L,SEP UFLW F CONC LOW ALM
43,2024-05-03 09:02:50.000000000,AIR002_3,L NR,SEP UFLW F CONC LOW ALM RECOVERED
44,2024-05-03 09:22:00.000000000,AIR002_2,L,SEP UFLW E CONC LOW ALM
45,2024-05-03 09:30:10.000000000,AIR002_2,L NR,SEP UFLW E CONC LOW ALM RECOVERED
46,2024-05-03 09:32:40.000000000,AIR002_3,L,SEP UFLW F CONC LOW ALM
47,2024-05-03 09:55:10.000000000,AIR002_3,L NR,SEP UFLW F CONC LOW ALM RECOVERED
48,2024-05-03 09:57:00.000000000,AIR003_6,L NR,PURGE F CONC LOW ALM RECOVERED
49,2024-05-03 10:32:30.000000000,AIR002_3,L,SEP UFLW F CONC LOW ALM
50,2024-05-03 10:46:50.000000000,AIR002_3,L NR,SEP UFLW F CONC LOW ALM RECOVERED
51,2024-05-03 11:54:40.000000000,AIR002_3,L,SEP UFLW F CONC LOW ALM
52,2024-05-03 12:00:10.000000000,AIR002_3,L NR,SEP UFLW F CONC LOW ALM RECOVERED
53,2024-05-03 13:17:50.000000000,AIR002_3,L,SEP UFLW F CONC LOW ALM
54,2024-05-03 13:31:00.000000000,AIR002_3,L NR,SEP UFLW F CONC LOW ALM RECOVERED
55,2024-05-03 13:56:30.000000000,AIR001_6,L NR,REACT FEED F CONC LOW ALM RECOVERED
56,2024-05-03 14:20:00.000000000,AIR001_6,L,REACT FEED F CONC LOW ALM
57,2024-05-03 14:31:00.000000000,AIR001_6,L NR,REACT FEED F CONC LOW ALM RECOVERED
58,2024-05-04 03:28:10.000000000,AIR103_2,H,C FEED B CONC HIGH ALM
59,2024-05-04 03:32:30.000000000,AIR001_3,H,REACT FEED C CONC HIGH ALM
60,2024-05-04 03:36:50.000000000,AIR003_3,H,PURGE C CONC HIGH ALM
61,2024-05-04 04:04:20.000000000,AIR001_1,L,REACT FEED A CONC LOW ALM
62,2024-05-04 04:08:50.000000000,AIR003_1,L,PURGE A CONC LOW ALM
63,2024-05-04 04:19:30.000000000,FIR115,H,FLW PURGE HIGH ALM
64,2024-05-04 04:34:00.000000000,AIR001_6,L,REACT FEED F CONC LOW ALM
65,2024-05-04 05:03:20.000000000,AIR002_2,H,SEP UFLW E CONC HIGH ALM
66,2024-05-04 05:14:40.000000000,FIR115,H NR,FLW PURGE HIGH ALM RECOVERED
67,2024-05-04 05:18:30.000000000,AIR003_6,L,PURGE F CONC LOW ALM
68,2024-05-04 05:25:10.000000000,AIR001_5,H,REACT FEED E CONC HIGH ALM
69,2024-05-04 05:33:30.000000000,AIR003_5,H,PURGE E CONC HIGH ALM
70,2024-05-04 05:34:20.000000000,AIR001_5,H NR,REACT FEED E CONC HIGH ALM RECOVERED
71,2024-05-04 05:36:40.000000000,AIR003_5,H NR,PURGE E CONC HIGH ALM RECOVERED
72,2024-05-04 05:55:30.000000000,AIR001_5,H,REACT FEED E CONC HIGH ALM
73,2024-05-04 05:56:20.000000000,AIR003_5,H,PURGE E CONC HIGH ALM
74,2024-05-04 06:02:20.000000000,AIR003_5,H NR,PURGE E CONC HIGH ALM RECOVERED
75,2024-05-04 06:03:40.000000000,FIR123,H,FLW COND CW HIGH ALM
76,2024-05-04 06:04:30.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
