,timestamp,tag,type,description
0,2024-05-01 00:00:10,FIR123,H,FLW COND CW HIGH ALM
1,2024-05-01 00:00:40,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
2,2024-05-01 00:02:10,FIR123,H,FLW COND CW HIGH ALM
3,2024-05-01 00:02:20,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
4,2024-05-01 00:02:30,FIR123,L,FLW COND CW LOW ALM
5,2024-05-01 00:02:40,FIR123,L NR,FLW COND CW LOW ALM RECOVERED
6,2024-05-01 00:05:10,FIR123,L,FLW COND CW LOW ALM
7,2024-05-01 00:05:20,FIR123,L NR,FLW COND CW LOW ALM RECOVERED
8,2024-05-01 00:06:30,FIR123,H,FLW COND CW HIGH ALM
9,2024-05-01 00:06:40,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
10,2024-05-01 00:18:30,FIR123,H,FLW COND CW HIGH ALM
11,2024-05-01 00:18:40,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
12,2024-05-01 00:19:50,FIR123,H,FLW COND CW HIGH ALM
13,2024-05-01 00:20:00,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
14,2024-05-01 00:24:30,FIR123,L,FLW COND CW LOW ALM
15,2024-05-01 00:24:40,FIR123,L NR,FLW COND CW LOW ALM RECOVERED
16,2024-05-01 00:27:50,FIR123,H,FLW COND CW HIGH ALM
17,2024-05-01 00:28:00,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
18,2024-05-01 00:28:20,FIR123,L,FLW COND CW LOW ALM
19,2024-05-01 00:28:30,FIR123,L NR,FLW COND CW LOW ALM RECOVERED
20,2024-05-01 00:30:20,FIR115,L,FLW PURGE LOW ALM
21,2024-05-01 00:33:00,FIR123,H,FLW COND CW HIGH ALM
22,2024-05-01 00:33:10,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
23,2024-05-01 00:38:10,FIR123,H,FLW COND CW HIGH ALM
24,2024-05-01 00:38:20,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
25,2024-05-01 00:41:50,FIR123,H,FLW COND CW HIGH ALM
26,2024-05-01 00:42:00,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
27,2024-05-01 00:46:20,FIR123,H,FLW COND CW HIGH ALM
28,2024-05-01 00:46:30,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
29,2024-05-01 00:49:30,FIR123,L,FLW COND CW LOW ALM
30,2024-05-01 00:49:40,FIR123,L NR,FLW COND CW LOW ALM RECOVERED
31,2024-05-01 00:50:50,FIR123,H,FLW COND CW HIGH ALM
32,2024-05-01 00:51:00,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
33,2024-05-01 00:51:30,FIR123,H,FLW COND CW HIGH ALM
34,2024-05-01 00:51:40,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
35,2024-05-01 00:52:30,FIR123,H,FLW COND CW HIGH ALM
36,2024-05-01 00:52:40,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
37,2024-05-01 00:54:20,FIR123,L,FLW COND CW LOW ALM
38,2024-05-01 00:54:30,FIR123,L NR,FLW COND CW LOW ALM RECOVERED
39,2024-05-01 00:56:00,FIR123,H,FLW COND CW HIGH ALM
40,2024-05-01 00:56:10,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
41,2024-05-01 01:00:10,FIR123,H,FLW COND CW HIGH ALM
42,2024-05-01 01:00:20,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
43,2024-05-01 01:03:20,FIR123,L,FLW COND CW LOW ALM
44,2024-05-01 01:03:30,FIR123,L NR,FLW COND CW LOW ALM RECOVERED
45,2024-05-01 01:05:00,FIR123,H,FLW COND CW HIGH ALM
46,2024-05-01 01:05:20,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
47,2024-05-01 01:08:50,FIR123,H,FLW COND CW HIGH ALM
48,2024-05-01 01:09:00,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
49,2024-05-01 01:11:00,FIR123,H,FLW COND CW HIGH ALM
50,2024-05-01 01:11:10,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
51,2024-05-01 01:16:10,FIR123,L,FLW COND CW LOW ALM
52,2024-05-01 01:16:20,FIR123,L NR,FLW COND CW LOW ALM RECOVERED
53,2024-05-01 01:16:50,FIR123,L,FLW COND CW LOW ALM
54,2024-05-01 01:17:00,FIR123,L NR,FLW COND CW LOW ALM RECOVERED
55,2024-05-01 01:17:50,FIR123,H,FLW COND CW HIGH ALM
56,2024-05-01 01:18:10,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
57,2024-05-01 01:18:30,FIR123,H,FLW COND CW HIGH ALM
58,2024-05-01 01:18:50,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
59,2024-05-01 01:23:10,FIR123,H,FLW COND CW HIGH ALM
60,2024-05-01 01:23:20,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
61,2024-05-01 01:23:40,FIR123,H,FLW COND CW HIGH ALM
62,2024-05-01 01:23:50,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
63,2024-05-01 01:24:20,FIR123,H,FLW COND CW HIGH ALM
64,2024-05-01 01:24:30,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
65,2024-05-01 01:30:00,V167,H,VLV POS PURGE HIGH ALM
66,2024-05-01 01:30:10,FIR115,H,FLW PURGE HIGH ALM
67,2024-05-01 01:31:30,FIR123,L,FLW COND CW LOW ALM
68,2024-05-01 01:31:40,FIR123,L NR,FLW COND CW LOW ALM RECOVERED
69,2024-05-01 01:32:50,FIR123,L,FLW COND CW LOW ALM
70,2024-05-01 01:33:00,FIR123,L NR,FLW COND CW LOW ALM RECOVERED
71,2024-05-01 01:34:00,FIR123,H,FLW COND CW HIGH ALM
72,2024-05-01 01:34:20,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
73,2024-05-01 01:35:40,FIR123,H,FLW COND CW HIGH ALM
74,2024-05-01 01:35:50,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
75,2024-05-01 01:39:40,FIR123,H,FLW COND CW HIGH ALM
76,2024-05-01 01:39:50,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
77,2024-05-01 01:41:10,FIR123,L,FLW COND CW LOW ALM
78,2024-05-01 01:41:20,FIR123,L NR,FLW COND CW LOW ALM RECOVERED
79,2024-05-01 01:43:20,V167,H NR,VLV POS PURGE HIGH ALM RECOVERED
80,2024-05-01 01:45:00,FIR123,L,FLW COND CW LOW ALM
81,2024-05-01 01:45:10,FIR123,L NR,FLW COND CW LOW ALM RECOVERED
82,2024-05-01 01:45:40,FIR123,L,FLW COND CW LOW ALM
83,2024-05-01 01:45:50,FIR123,L NR,FLW COND CW LOW ALM RECOVERED
84,2024-05-01 01:49:10,FIR123,L,FLW COND CW LOW ALM
85,2024-05-01 01:49:20,FIR123,L NR,FLW COND CW LOW ALM RECOVERED
86,2024-05-01 01:50:30,FIR123,L,FLW COND CW LOW ALM
87,2024-05-01 01:50:40,FIR123,L NR,FLW COND CW LOW ALM RECOVERED
88,2024-05-01 01:51:20,FIR123,L,FLW COND CW LOW ALM
89,2024-05-01 01:51:40,FIR123,L NR,FLW COND CW LOW ALM RECOVERED
90,2024-05-01 01:53:50,FIR115,L NR,FLW PURGE LOW ALM RECOVERED
91,2024-05-01 01:53:50,FIR123,L,FLW COND CW LOW ALM
92,2024-05-01 01:54:00,FIR115,H NR,FLW PURGE HIGH ALM RECOVERED
93,2024-05-01 01:54:00,FIR123,L NR,FLW COND CW LOW ALM RECOVERED
94,2024-05-01 01:56:20,FIR123,L,FLW COND CW LOW ALM
95,2024-05-01 01:56:30,FIR123,L NR,FLW COND CW LOW ALM RECOVERED
96,2024-05-01 01:59:00,FIR123,L,FLW COND CW LOW ALM
97,2024-05-01 01:59:10,FIR123,L NR,FLW COND CW LOW ALM RECOVERED
98,2024-05-01 02:00:00,FIR123,L,FLW COND CW LOW ALM
99,2024-05-01 02:00:20,FIR123,L NR,FLW COND CW LOW ALM RECOVERED
100,2024-05-01 02:01:20,FIR123,L,FLW COND CW LOW ALM
101,2024-05-01 02:01:30,FIR123,L NR,FLW COND CW LOW ALM RECOVERED
102,2024-05-01 02:02:10,FIR123,L,FLW COND CW LOW ALM
103,2024-05-01 02:02:20,FIR123,L NR,FLW COND CW LOW ALM RECOVERED
104,2024-05-01 02:03:00,FIR123,L,FLW COND CW LOW ALM
105,2024-05-01 02:03:10,FIR123,L NR,FLW COND CW LOW ALM RECOVERED
106,2024-05-01 02:04:00,FIR123,L,FLW COND CW LOW ALM
107,2024-05-01 02:04:10,FIR123,L NR,FLW COND CW LOW ALM RECOVERED
108,2024-05-01 02:06:00,FIR123,L,FLW COND CW LOW ALM
109,2024-05-01 02:06:10,FIR123,L NR,FLW COND CW LOW ALM RECOVERED
110,2024-05-01 02:08:00,FIR123,L,FLW COND CW LOW ALM
111,2024-05-01 02:08:10,FIR123,L NR,FLW COND CW LOW ALM RECOVERED
112,2024-05-01 02:08:20,FIR123,L,FLW COND CW LOW ALM
113,2024-05-01 02:08:30,FIR123,L NR,FLW COND CW LOW ALM RECOVERED
114,2024-05-01 02:10:50,FIR123,L,FLW COND CW LOW ALM
115,2024-05-01 02:11:10,FIR123,L NR,FLW COND CW LOW ALM RECOVERED
116,2024-05-01 02:13:30,FIR123,H,FLW COND CW HIGH ALM
117,2024-05-01 02:13:40,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
118,2024-05-01 02:14:50,FIR123,L,FLW COND CW LOW ALM
119,2024-05-01 02:15:40,FIR123,L NR,FLW COND CW LOW ALM RECOVERED
120,2024-05-01 02:18:00,FIR123,L,FLW COND CW LOW ALM
121,2024-05-01 02:18:10,FIR123,L NR,FLW COND CW LOW ALM RECOVERED
122,2024-05-01 02:19:30,FIR123,L,FLW COND CW LOW ALM
123,2024-05-01 02:19:40,FIR123,L NR,FLW COND CW LOW ALM RECOVERED
124,2024-05-01 02:20:20,FIR123,L,FLW COND CW LOW ALM
125,2024-05-01 02:20:30,FIR123,L NR,FLW COND CW LOW ALM RECOVERED
126,2024-05-01 02:25:50,FIR123,H,FLW COND CW HIGH ALM
127,2024-05-01 02:26:00,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
128,2024-05-01 02:26:20,FIR123,L,FLW COND CW LOW ALM
129,2024-05-01 02:26:30,FIR123,L NR,FLW COND CW LOW ALM RECOVERED
130,2024-05-01 02:31:20,FIR123,L,FLW COND CW LOW ALM
131,2024-05-01 02:31:30,FIR123,L NR,FLW COND CW LOW ALM RECOVERED
132,2024-05-01 02:32:30,FIR123,L,FLW COND CW LOW ALM
133,2024-05-01 02:32:40,FIR123,L NR,FLW COND CW LOW ALM RECOVERED
134,2024-05-01 02:33:50,FIR115,L,FLW PURGE LOW ALM
135,2024-05-01 02:34:40,FIR115,L NR,FLW PURGE LOW ALM RECOVERED
136,2024-05-01 02:34:50,FIR115,L,FLW PURGE LOW ALM
137,2024-05-01 02:39:50,FIR123,L,FLW COND CW LOW ALM
138,2024-05-01 02:40:00,FIR123,L NR,FLW COND CW LOW ALM RECOVERED
139,2024-05-01 02:40:30,FIR123,L,FLW COND CW LOW ALM
140,2024-05-01 02:40:40,FIR123,L NR,FLW COND CW LOW ALM RECOVERED
141,2024-05-01 02:42:50,FIR123,L,FLW COND CW LOW ALM
142,2024-05-01 02:43:00,FIR123,L NR,FLW COND CW LOW ALM RECOVERED
143,2024-05-01 02:47:00,FIR123,L,FLW COND CW LOW ALM
144,2024-05-01 02:47:10,FIR123,L NR,FLW COND CW LOW ALM RECOVERED
145,2024-05-01 02:48:20,FIR123,L,FLW COND CW LOW ALM
146,2024-05-01 02:48:30,FIR123,L NR,FLW COND CW LOW ALM RECOVERED
147,2024-05-01 02:51:20,FIR123,H,FLW COND CW HIGH ALM
148,2024-05-01 02:51:30,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
149,2024-05-01 02:51:50,FIR123,H,FLW COND CW HIGH ALM
150,2024-05-01 02:52:00,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
151,2024-05-01 02:52:50,FIR123,L,FLW COND CW LOW ALM
152,2024-05-01 02:53:00,FIR123,L NR,FLW COND CW LOW ALM RECOVERED
153,2024-05-01 02:53:20,FIR115,L NR,FLW PURGE LOW ALM RECOVERED
154,2024-05-01 02:53:30,FIR115,L,FLW PURGE LOW ALM
155,2024-05-01 02:54:10,FIR115,L NR,FLW PURGE LOW ALM RECOVERED
156,2024-05-01 02:54:20,FIR115,L,FLW PURGE LOW ALM
157,2024-05-01 02:54:40,FIR115,L NR,FLW PURGE LOW ALM RECOVERED
158,2024-05-01 02:59:10,FIR123,H,FLW COND CW HIGH ALM
159,2024-05-01 02:59:30,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
160,2024-05-01 03:04:30,FIR123,H,FLW COND CW HIGH ALM
161,2024-05-01 03:04:50,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
162,2024-05-01 03:07:40,FIR123,L,FLW COND CW LOW ALM
163,2024-05-01 03:07:50,FIR123,L NR,FLW COND CW LOW ALM RECOVERED
164,2024-05-01 03:09:40,FIR123,H,FLW COND CW HIGH ALM
165,2024-05-01 03:09:50,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
166,2024-05-01 03:10:40,FIR123,H,FLW COND CW HIGH ALM
167,2024-05-01 03:10:50,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
168,2024-05-01 03:11:30,FIR123,L,FLW COND CW LOW ALM
169,2024-05-01 03:11:40,FIR123,L NR,FLW COND CW LOW ALM RECOVERED
170,2024-05-01 03:13:40,FIR123,H,FLW COND CW HIGH ALM
171,2024-05-01 03:13:50,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
172,2024-05-01 03:14:20,FIR123,H,FLW COND CW HIGH ALM
173,2024-05-01 03:14:30,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
174,2024-05-01 03:17:10,FIR123,H,FLW COND CW HIGH ALM
175,2024-05-01 03:17:20,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
176,2024-05-01 03:20:00,FIR123,H,FLW COND CW HIGH ALM
177,2024-05-01 03:20:10,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
178,2024-05-01 03:24:40,FIR123,H,FLW COND CW HIGH ALM
179,2024-05-01 03:24:50,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
180,2024-05-01 03:29:00,FIR123,H,FLW COND CW HIGH ALM
181,2024-05-01 03:29:10,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
182,2024-05-01 03:31:50,FIR123,H,FLW COND CW HIGH ALM
183,2024-05-01 03:32:00,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
184,2024-05-01 03:53:40,FIR123,H,FLW COND CW HIGH ALM
185,2024-05-01 03:53:50,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
186,2024-05-01 03:56:10,FIR123,H,FLW COND CW HIGH ALM
187,2024-05-01 03:56:20,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
188,2024-05-01 04:00:10,TIR123,H,TEMP COND CWS HIGH ALM
189,2024-05-01 04:01:00,FIR123,H,FLW COND CW HIGH ALM
190,2024-05-01 04:01:10,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
