,timestamp,tag,type,description
0,2024-05-01 00:02:50.000000000,FIR123,H,FLW COND CW HIGH ALM
1,2024-05-01 00:03:00.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
2,2024-05-01 00:04:30.000000000,FIR123,H,FLW COND CW HIGH ALM
3,2024-05-01 00:04:40.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
4,2024-05-01 00:06:20.000000000,FIR123,H,FLW COND CW HIGH ALM
5,2024-05-01 00:06:30.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
6,2024-05-01 00:10:00.000000000,FIR123,L,FLW COND CW LOW ALM
7,2024-05-01 00:10:10.000000000,FIR123,L NR,FLW COND CW LOW ALM RECOVERED
8,2024-05-01 00:11:50.000000000,FIR123,H,FLW COND CW HIGH ALM
9,2024-05-01 00:12:10.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
10,2024-05-01 00:13:40.000000000,FIR123,H,FLW COND CW HIGH ALM
11,2024-05-01 00:13:50.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
12,2024-05-01 00:14:10.000000000,FIR123,H,FLW COND CW HIGH ALM
13,2024-05-01 00:14:20.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
14,2024-05-01 00:17:10.000000000,FIR123,L,FLW COND CW LOW ALM
15,2024-05-01 00:17:20.000000000,FIR123,L NR,FLW COND CW LOW ALM RECOVERED
16,2024-05-01 00:20:10.000000000,FIR123,H,FLW COND CW HIGH ALM
17,2024-05-01 00:20:20.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
18,2024-05-01 00:21:30.000000000,FIR123,H,FLW COND CW HIGH ALM
19,2024-05-01 00:21:40.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
20,2024-05-01 00:22:10.000000000,FIR123,L,FLW COND CW LOW ALM
21,2024-05-01 00:22:20.000000000,FIR123,L NR,FLW COND CW LOW ALM RECOVERED
22,2024-05-01 00:27:40.000000000,FIR123,L,FLW COND CW LOW ALM
23,2024-05-01 00:27:50.000000000,FIR123,L NR,FLW COND CW LOW ALM RECOVERED
24,2024-05-01 00:28:10.000000000,FIR123,H,FLW COND CW HIGH ALM
